Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/P06/current/MGSS/,SDN:P06::MGSS,Milligrams per square metre per second,mg/m^2/s,10^-6 of the SI unit of mass (kilogram) per SI unit of area per SI unit of time.,1,false,2021-04-11 23:23:37.0
http://vocab.nerc.ac.uk/collection/P06/current/UMMH/,SDN:P06::UMMH,Micromoles per litre per hour,umol/l/h,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/UKWN/,SDN:P06::UKWN,Not known,Unknown,"A unit of measure exists, but it is not known.",1,false,2010-09-16 11:33:50.0
http://vocab.nerc.ac.uk/collection/P06/current/PUML/,SDN:P06::PUML,per micromole per litre,/umol/l,Units used to describe the sensitivity of detection of a spectrophotometer.,1,false,2016-09-19 14:41:57.0
http://vocab.nerc.ac.uk/collection/P06/current/UYAD/,SDN:P06::UYAD,Gregorian calendar years anno Domini,AD,A calendar year after the origin of the Gregorian calendar.,2,false,2014-02-04 12:49:44.0
http://vocab.nerc.ac.uk/collection/P06/current/MWNM/,SDN:P06::MWNM,Milliwatts per square metre per nanometre,mW/m^2/nm,Unavailable,1,false,2014-08-14 11:22:40.0
http://vocab.nerc.ac.uk/collection/P06/current/UUBQ/,SDN:P06::UUBQ,Microbecquerels per litre,uBq/l,Unavailable,2,false,2014-06-07 11:03:42.0
http://vocab.nerc.ac.uk/collection/P06/current/MBQM/,SDN:P06::MBQM,Millibecquerels per cubic metre,mBq/m^3,One radioactive disintegration per thousand seconds from an SI standard unit of volume. Equivalent microbecquerels per litre.,1,false,2020-09-25 15:47:41.0
http://vocab.nerc.ac.uk/collection/P06/current/MGSQ/,SDN:P06::MGSQ,Milligrams per square metre per hour,mg/m^2/h,Unavailable,1,false,2005-05-05 09:02:36.0
http://vocab.nerc.ac.uk/collection/P06/current/UESC/,SDN:P06::UESC,MicroEinsteins per square centimetre per second,uE/cm^2/s,Energy of 10^-6 moles of photons per 10^-4 SI unit area over a period of one second.,1,false,2019-02-05 07:53:09.0
http://vocab.nerc.ac.uk/collection/P06/current/UMTE/,SDN:P06::UMTE,Square metres.Hertz^4,m^2*Hz^4,Unavailable,1,false,2003-11-05 15:13:12.0
